TAG;PREFIX;LINK
600-TK-01;;https://sites.google.com/view/coltropicos/TANQUES/600-TK-01
801-TK-01;;https://sites.google.com/view/coltropicos/TANQUES/801-TK-01
801-TK-01;;https://sites.google.com/view/coltropicos/TANQUES/801-TK-01
802-TK-01;;https://sites.google.com/view/coltropicos/TANQUES/802-TK-01
803-TK-01;;https://sites.google.com/view/coltropicos/TANQUES/803-TK-01
803-TK-02;;https://sites.google.com/view/coltropicos/TANQUES/803-TK-02
804-TK-01;;https://sites.google.com/view/coltropicos/TANQUES/804-TK-01
100-C-01;;https://sites.google.com/view/coltropicos/EQUIPOS/100-C-01
100-C-02;;https://sites.google.com/view/coltropicos/EQUIPOS/100-C-01
