DOMAIN;SUBSITE;TAG;LINK
https://sites.google.com/view/qr-groupe-seb/;EQUIPOS/;800-P-01;https://sites.google.com/view/qr-groupe-seb/EQUIPOS/800-P-01
https://sites.google.com/view/qr-groupe-seb/;EQUIPOS/;805-P-01;https://sites.google.com/view/qr-groupe-seb/EQUIPOS/805-P-01
https://sites.google.com/view/qr-groupe-seb/;EQUIPOS/;808-P-01;https://sites.google.com/view/qr-groupe-seb/EQUIPOS/808-P-01
https://sites.google.com/view/qr-groupe-seb/;EQUIPOS/;807-P-01;https://sites.google.com/view/qr-groupe-seb/EQUIPOS/807-P-01
https://sites.google.com/view/qr-groupe-seb/;EQUIPOS/;809-P-01;https://sites.google.com/view/qr-groupe-seb/EQUIPOS/809-P-01
