TAG;PREFIX;LINK
400-P-01;;https://sites.google.com/view/tecnoaltag/equipments/400-P-01
500-P-01;;https://sites.google.com/view/tecnoaltag/equipments/500-P-01
600-P-02;;https://sites.google.com/view/tecnoaltag/equipments/600-P-02
803-P-02;;https://sites.google.com/view/tecnoaltag/equipments/803-P-02
400-C-01;;https://sites.google.com/view/tecnoaltag/equipments/400-C-01
600-SD-01;;https://sites.google.com/view/tecnoaltag/equipments/600-SD-01
500-F-01;;https://sites.google.com/view/tecnoaltag/equipments/500-F-01
400-AV-001;;https://sites.google.com/view/tecnoaltag/instruments/400-AV-001
